"Source:","D:\Users\turbo\Desktop\github\Balthazar\BalthazarCM4IO\CM4IOv5.kicad_sch"
"Date:","10/03/2022 12:21:29"
"Tool:","Eeschema (6.0.2)"
"Generator:","E:\KiCad\6\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","93"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Field4","Field5","Field6","Field7","Field8","Part Description"
"","","C11","100n","Device:C","Capacitor_SMD:C_0402_1005Metric","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM155R71C104KA88-01.pdf","Farnell","2611911","RM EMK105 B7104KV-F","TAIYO YUDEN EUROPE GMBH","110091611","	0.1uF 10% 16V Ceramic Capacitor X7R 0402 (1005 Metric)"
"","","C12","100n","Device:C","Capacitor_SMD:C_0402_1005Metric","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM155R71C104KA88-01.pdf","Farnell","2611911","RM EMK105 B7104KV-F","TAIYO YUDEN EUROPE GMBH","110091611","	0.1uF 10% 16V Ceramic Capacitor X7R 0402 (1005 Metric)"
"","","C13","100n","Device:C","Capacitor_SMD:C_0402_1005Metric","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM155R71C104KA88-01.pdf","Farnell","2611911","RM EMK105 B7104KV-F","TAIYO YUDEN EUROPE GMBH","110091611","	0.1uF 10% 16V Ceramic Capacitor X7R 0402 (1005 Metric)"
"","","C14","100n","Device:C","Capacitor_SMD:C_0402_1005Metric","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM155R71C104KA88-01.pdf","Farnell","2611911","RM EMK105 B7104KV-F","TAIYO YUDEN EUROPE GMBH","110091611","	0.1uF 10% 16V Ceramic Capacitor X7R 0402 (1005 Metric)"
"","","C15","100n","Device:C","Capacitor_SMD:C_0402_1005Metric","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM155R71C104KA88-01.pdf","Farnell","2611911","RM EMK105 B7104KV-F","TAIYO YUDEN EUROPE GMBH","110091611","	0.1uF 10% 16V Ceramic Capacitor X7R 0402 (1005 Metric)"
"","","C16","100uF","Device:CP","Capacitor_Tantalum_SMD:CP_EIA-7343-31_Kemet-D","~","Mouser","667-EEF-CX0J101R","","","","Capacitor, SP-Cap, 100u, 6.3V, 15mR ESR"
"","","C17","10u","Device:C","Capacitor_SMD:C_0805_2012Metric","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM21BR71A106KA73-01.pdf","Digikey","490-14381-1-ND","GRM21BR71A106KA73L","Murata","111893011","	10uF 10% 10V Ceramic Capacitor X7R 0805 (2012 Metric)"
"","","C19","10u","Device:C","Capacitor_SMD:C_0805_2012Metric","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM21BR71A106KA73-01.pdf","Digikey","490-14381-1-ND","GRM21BR71A106KA73L","Murata","111893011","	10uF 10% 10V Ceramic Capacitor X7R 0805 (2012 Metric)"
"","","C20","10u","Device:C","Capacitor_SMD:C_0805_2012Metric","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM21BR71A106KA73-01.pdf","Digikey","490-14381-1-ND","GRM21BR71A106KA73L","Murata","111893011","	10uF 10% 10V Ceramic Capacitor X7R 0805 (2012 Metric)"
"","","C21","10u","Device:C","Capacitor_SMD:C_0805_2012Metric","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM21BR71A106KA73-01.pdf","Digikey","490-14381-1-ND","GRM21BR71A106KA73L","Murata","111893011","	10uF 10% 10V Ceramic Capacitor X7R 0805 (2012 Metric)"
